A,,01,,,,,,,,,,,,
A00/09,,,,,,,,,,,,,,
A66,,,,,,,,,,,,,,
A67,,,,,,,,,,,,,,
A68,,,,,,,,,,,,,,
A69,,,,,,,,,,,,,,
A75/79,,,,,,,,,,,,,,
A75,,,,,,,,,,,,,,
A76,,,,,,,,,,,,,,
A77,,,,,,,,,,,,,,
A78,,,,,,,,,,,,,,
A79,,,,,,,,,,,,,,
A80/89,,55,55.180.99,,,55.160,,,,,,,,
A80,,01.040.53,01.040.55,55.020,55.220,,,,,,,,,
A82,,23.020.40,23.020,23.020.01,23.020.10,55.040,55.060,,,,,,,
A83,,55.180.40,,,,,,,,,,,,
A84,,,,,,,,,,,,,,
A85,,55.180.10,55.180.20,55.180.30,,,,,,,,,,
A87,,03.220,03.220.01,03.220.99,55.180,,,,,,,,,
A88,,,,,55.180.01,,,,,,,,,
A90/94,,,,,,,,,,,,,,
A90,,03.020,13.310,,,,,,,,,,,
A91,,13.230,13.300,13.320,,,,,,,,,,
A92,,,,,,,,,,,,,,
A94,,,,,,,,,,,,,,
B,,65,65.020,,,,,,,,,,,
B00/09,,65.020.01,65.020.99,,,,,,,,,,,
B00,,,,,,,,,,,,,,
B01,,,,,,,,,,,,,,
B02,,,,,,,,,,,,,,
B04,,01.040.65,,,,,,,,,,,,
B05,,65.020.20,,,,,,,,,,,,
B07,,,,,,,,,,,,,,
B08,,,,,,,,,,,,,,
B09,,,,,,,,,,,,,,
B10/14,,,,,,,,,,,,,,
B10,,,,,,,,,,,,,,
B11,,,,,,,,,,,,,,
B13,,65.080,,,,,,,,,,,,
B15/19,,,,,,,,,,,,,,
B15,,,,,,,,,,,,,,
B16,,,,,,,,,,,,,,
B17,,,,,,,,,,,,,,
B18,,,,,,,,,,,,,,
B20/29,,,,,,,,,,,,,,
B20,,,,,,,,,,,,,,
B21,,,,,,,,,,,,,,
B22,,,,,,,,,,,,,,
B23,,,,,,,,,,,,,,
B25,,,,,,,,,,,,,,
B30/39,,,,,,,,,,,,,,
B30,,,,,,,,,,,,,,
B31,,,,,,,,,,,,,,
B32,,,,,,,,,,,,,,
B33,,,,,,,,,,,,,,
B34,,,,,,,,,,,,,,
B35,,,,,,,,,,,,,,
B36,,,,,,,,,,,,,,
B38,,,,,,,,,,,,,,
B39,,,,,,,,,,,,,,
B40/49,,65.020.30,65.145,,,,,,,,,,,
B40,,,,,,,,,,,,,,
B41,,11.220,,,,,,,,,,,,
B42,,,,,,,,,,,,,,
B43,,,,,,,,,,,,,,
B44,,,,,,,,,,,,,,
B45,,,,,,,,,,,,,,
B46,,65.120,,,,,,,,,,,,
B47,,65.140,,,,,,,,,,,,
B50/59,,65.150,,,,,,,,,,,,
B50,,,,,,,,,,,,,,
B51,,,,,,,,,,,,,,
B52,,,,,,,,,,,,,,
B53,,,,,,,,,,,,,,
B54,,,,,,,,,,,,,,
B56,,,,,,,,,,,,,,
B60/79,,65.020.40,,,,,,,,,,,,
B60,,,,,,,,,,,,,,
B61,,,,,,,,,,,,,,
B62,,,,,,,,,,,,,,
B64,,,,,,,,,,,,,,
B65,,,,,,,,,,,,,,
B66,,,,,,,,,,,,,,
B67,,,,,,,,,,,,,,
B68,,,,,,,,,,,,,,
B69,,79,79.040,79.100,01.040.79,79.020,,,,,,,,
B70,,79.060,79.060.01,79.060.10,79.060.20,79.060.99,79.080,,,,,,,
B71,,71.100.50,,,,,,,,,,,,
B72,,83.040.10,,,,,,,,,,,,
B73,,,,,,,,,,,,,,
B90/99,,65.060,65.060.99,,,,,,,,,,,
B90,,65.060.01,,,,,,,,,,,,
B91,,65.060.20,65.060.25,65.060.30,65.060.35,65.060.40,65.060.50,65.060.60,,,,,,
